302	80.3%
303	80.8%
304	54.2%
305	54.2%
306	54.5%
307	54.5%
308	54.8%
309	55.2%
310	55.2%
311	57.8%
312	58.7%
313	58.7%
314	59.2%
315	59.6%
316	59.6%
317	60.0%
318	60.0%
319	60.4%
320	60.6%
321	60.9%
322	60.9%
323	61.2%
324	61.5%
325	61.5%
326	61.8%
327	61.8%
328	62.1%
329	62.3%
330	62.3%
331	62.6%
332	62.6%
333	62.9%
334	63.0%
335	63.3%
336	63.3%
337	63.7%
338	63.7%
339	64.0%
340	64.0%
341	64.3%
342	64.3%
343	64.6%
344	64.7%
345	64.9%
346	65.2%
347	65.2%
348	65.5%
349	65.5%
350	65.7%
351	65.9%
352	66.1%
353	66.1%
354	64.5%
355	65.4%
356	65.4%
357	66.5%
358	67.1%
359	67.5%
360	67.5%
361	68.2%
362	68.2%
363	68.8%
364	69.3%
365	69.3%
366	69.8%
367	69.8%
368	70.4%
369	70.4%
370	70.9%
371	70.9%
372	71.5%
373	72.0%
374	72.0%
375	72.4%
376	73.1%
377	73.1%
378	73.5%
379	73.8%
380	74.2%
381	74.2%
382	74.8%
383	74.9%
384	75.2%
385	75.2%
386	75.7%
387	75.7%
388	76.2%
389	76.2%
390	76.7%
391	77.0%
392	77.5%
393	77.5%
394	78.0%
395	78.4%
396	78.4%
397	78.9%
398	79.2%
399	79.2%
400	79.7%
401	80.1%
402	80.4%
403	80.4%
404	80.8%
405	65.6%
406	65.9%
407	65.9%
408	53.7%
409	53.7%
410	54.2%
411	54.6%
412	54.6%
413	54.7%
414	56.1%
415	56.1%
416	60.1%
417	61.9%
418	63.3%
419	64.9%
420	64.9%
421	66.1%
422	66.1%
423	66.9%
424	67.3%
425	67.3%
426	67.8%
427	67.8%
428	68.1%
429	68.3%
430	68.3%
431	68.7%
432	69.0%
433	69.0%
434	69.2%
435	69.4%
436	69.6%
437	69.6%
438	69.9%
439	69.9%
440	70.1%
441	70.1%
442	70.4%
443	70.4%
444	70.6%
445	70.8%
446	70.8%
447	71.0%
448	71.2%
449	71.2%
450	71.4%
451	71.5%
452	71.5%
453	71.8%
454	71.9%
455	72.1%
456	72.1%
457	72.4%
458	72.5%
459	72.5%
460	72.7%
461	72.8%
462	73.0%
463	73.0%
464	73.3%
465	73.4%
466	73.4%
467	73.7%
468	73.7%
469	73.9%
470	74.1%
471	74.1%
472	61.7%
473	61.9%
474	61.9%
475	62.2%
476	62.3%
477	62.3%
478	62.6%
479	62.6%
480	62.8%
481	63.0%
482	63.0%
483	63.1%
484	63.1%
485	63.3%
486	63.5%
487	63.7%
488	63.7%
489	63.9%
490	64.1%
491	64.1%
492	64.4%
493	64.4%
494	64.6%
495	64.8%
496	65.0%
497	65.0%
498	65.2%
499	65.4%
500	65.4%
501	65.6%
502	65.6%
503	65.9%
504	66.1%
505	66.2%
506	66.2%
507	66.4%
508	66.6%
509	66.7%
510	66.7%
511	67.0%
512	67.2%
513	67.2%
514	67.4%
515	67.6%
516	67.6%
517	67.8%
518	67.9%
519	68.2%
520	68.3%
521	68.3%
522	68.5%
523	68.7%
524	68.7%
525	69.0%
526	69.2%
527	69.2%
528	69.5%
529	69.5%
530	69.5%
531	69.7%
532	69.8%
533	69.8%
534	71.5%
535	71.5%
536	73.0%
537	73.6%
538	74.1%
539	74.1%
540	74.5%
541	74.5%
542	74.9%
543	75.3%
544	75.3%
545	75.5%
546	75.5%
547	75.8%
548	76.0%
